店铺名称,手机品牌,商品编号,商品名称,CPU型号,后摄主摄像素,前摄主摄像素,系统,商品评价量,手机价格
realme真我京东自营旗舰店,真我,100032000000,真我GT 2,骁龙888,5000万像素,1600万像素,Android,1万+,2599.0
联想京东自营旗舰店,联想,100034000000,联想拯救者电竞,骁龙8 Gen 1,其他,其他,Android,2000+,3699.0
三星京东自营官方旗舰店,三星,100032000000,三星Galaxy S21 FE ,其他,其他,其他,Android,2000+,3899.0
vivo京东自营官方旗舰店,vivo,100038000000,vivoX80 Pro,骁龙8 Gen 1,5000万像素,3200万像素,Android,2000+,5999.0
华为京东自营官方旗舰店,Hi nova,100030000000,Hi novaHi nova 9 Pro,其他,5000万像素,3200万像素,Android,1万+,3799.0
OPPO京东自营官方旗舰店,OPPO,100017000000,OPPOFind N,其他,5000万像素,3200万像素,Android,2万+,7699.0
小米京东自营旗舰店,小米,100019000000,小米Redmi K40 ,骁龙870,4800万像素,2000万像素,Android,100万+,1999.0
华为京东自营官方旗舰店,华为,100027000000,华为nova 9,骁龙778G 4G,5000万像素,3200万像素,HarmonyOS 2,10万+,2549.0
小米京东自营旗舰店,小米,100020000000,小米小米MIX FOLD,骁龙888,1亿像素,2000万像素,Android,2万+,6999.0
华为京东自营官方旗舰店,华为,100017000000,华为P50系列,骁龙888,5000万像素,1300万像素,HarmonyOS 2,5万+,5988.0
天语手机京东自营官方旗舰店,天语,100016000000,天语S6,紫光展锐,无后置摄像头,无前置摄像头,功能机,10万+,168.0
京东移动生态自营专区,荣耀,100037000000,荣耀荣耀Play5,其他,其他,其他,Android,1000+,1499.0
京联通达旗舰店,华为,10041100000000,华为nova8se 麒麟710A芯片 搭载HarmonyOS系统 幻夜黑 8GB+128GB（66W充电套装+耳机套装）,麒麟710A,4800万像素,1600万像素,HarmonyOS 2,1万+,1649.0
三星京东自营官方旗舰店,三星,100018000000,三星Galaxy S21 ,骁龙888,1200万像素,1000万像素,Android,10万+,4299.0
魅族京东自营旗舰店,魅族,100026000000,魅族18s,骁龙888 Plus,6400万像素,2000万像素,Android,1万+,2899.0
三星京东自营官方旗舰店,三星,100027000000,三星W22 ,骁龙888,其他,其他,Android,5000+,16999.0
OPPO京东自营官方旗舰店,OPPO,100021000000,OPPOFind X3,骁龙870,5000万像素,3200万像素,Android,10万+,3499.0
vivo京东自营官方旗舰店,vivo,100021000000,vivoX60t Pro+,骁龙888,5000万像素,3200万像素,Android,2万+,3499.0
华为京东自营官方旗舰店,华为,100031000000,华为HUAWEI P50 Pocket,其他,4000万像素,其他,HarmonyOS 2,2万+,10988.0
小米京东自营旗舰店,小米,100020000000,小米小米11 Pro,骁龙888,5000万像素,2000万像素,Android,20万+,4699.0
努比亚京东自营旗舰店,努比亚,100033000000,努比亚红魔7,其他,其他,其他,Android,5000+,3699.0
一加手机京东自营官方旗舰店,一加,100015000000,一加,骁龙888,5000万像素,1600万像素,Android,5万+,3299.0
OKSJ手机旗舰店,Hi nova,10041500000000,Hi novaHi nova9,其他,其他,其他,Android,2000+,2799.0
三星京东自营官方旗舰店,三星,100025000000,三星Galaxy Z Fold3 ,骁龙888,1200万像素,其他,Android,1万+,14999.0
OPPO京东自营官方旗舰店,OPPO,100033000000,OPPOFind X5 Pro ,骁龙8 Gen 1,5000万像素,3200万像素,Android,1万+,6299.0
vivo官方旗舰店,vivo,10036800000000,vivoX70 Pro,三星Exynos 1080,5000万像素,3200万像素,Android,2000+,3999.0
vivo官方旗舰店,vivo,10049100000000,vivoX80,其他,5000万像素,3200万像素,Android,200+,3699.0
飞利浦手机京东自营旗舰店,飞利浦,100006000000,飞利浦E109,其他,无后置摄像头,无前置摄像头,功能机,10万+,97.0
联想京东自营官方旗舰店,联想,10050100000000,联想（Lenovo）拯救者电竞,骁龙8,6400万像素,1600万像素,Android,23,3699.0
三星京东自营官方旗舰店,三星,100008000000,三星Galaxy Note20 Ultra ,骁龙865 plus,1亿像素,1000万像素,Android,5万+,6299.0
realme真我官方旗舰店,真我,10048900000000,真我（realme）Q5,其他,其他,其他,Android,100+,1399.0
VERTU中艺天工专卖店,VERTU,10039500000000,,其他,其他,其他,Android,18,16800.0
荣耀京东自营旗舰店,荣耀,100024000000,荣耀Magic3 至臻版,骁龙888 Plus,5000万像素,1300万像素,Android,1万+,6999.0
京东之家官方旗舰店,华为,10045500000000,华为（HUAWEI）mate 40 E pro,其他,其他,其他,HarmonyOS 2,500+,7249.0
耐谷手机旗舰店,华为,10049700000000,华为畅享20 ,其他,其他,其他,Android,500+,766.0
金诚旗舰店,天语,69323324707,天语（K-Touch）F12 Pro,其他,其他,其他,Android,500+,699.0
茄子手机旗舰店,努比亚,10044500000000,努比亚（nubia）红魔7,骁龙8 Gen 1,6400万像素,800万像素,其他,100+,5999.0
疆界互联旗舰店,Apple,55370143413,AppleiPhone 11,其他,1200万像素,1200万像素,iOS,5万+,4089.0
小米京东自营旗舰店,小米,100013000000,小米MIX 4,骁龙888 Plus,1亿像素,2000万像素,Android,10万+,4899.0
久汇通手机旗舰店,华为,68377418809,华为（HUAWEI）nova 9 SE,骁龙680,10800万像素,1600万像素,HarmonyOS 2.0.1,2万+,2389.0
荣耀京东自营旗舰店,荣耀,100034000000,荣耀荣耀,天玑700,1300万像素,500万像素,Android,500+,7999.0
荣耀京东自营旗舰店,荣耀,100013000000,荣耀Magic3 Pro,骁龙888 Plus,5000万像素,1300万像素,Android,2万+,5699.0
OKSJ手机旗舰店,华为,67126015771,华为（HUAWEI）P40 (,麒麟990 5G,5000万像素,3200万像素,Android,1万+,5488.0
京铠玄手机旗舰店,华为,68373059800,华为（HUAWEI）nova 7 ,麒麟985,6400万像素,3200万像素,Android,5000+,2488.0
耐谷手机旗舰店,华为,66098326641,华为（HUAWEI）Mate Xs (,麒麟990 5G,4000万像素,其他,Android,2000+,12988.0
OKSJ手机旗舰店,华为,68372945037,华为（HUAWEI）nova 7 ,麒麟985,6400万像素,3200万像素,Android,1万+,2549.0
京东之家官方旗舰店,Apple,10041300000000,AppleiPhone 13,其他,1200万像素,1200万像素,iOS,2万+,5499.0
OPPO手机乐良专卖店,OPPO,10049600000000,OPPOK10,其他,6400万像素,1600万像素,Android,90,2499.0
8848手机官方旗舰店,8848,31287664019,8848M5尊享版,其他,1200万像素,1600万像素,其他,1000+,4999.0
京联通达旗舰店,诺基亚,58911030334,诺基亚（NOKIA）105,其他,其他,其他,功能机,2万+,139.0
Unihertz手机旗舰店,Unihertz,46560095796,UnihertzUnihertz Atom,其他,1600万像素,800万像素,Android,2000+,1699.0
鼎桥（TD Tech）京东自营旗舰店,鼎桥,100039000000,鼎桥M40,其他,6400万像素,其他,其他,11,4499.0
三星京东自营官方旗舰店,三星,100033000000,三星Galaxy S22 Ultra,其他,10800万像素,4000万像素,Android,1万+,9699.0
SONY京东自营官方旗舰店,索尼,100011000000,索尼Xperia 1 III,骁龙888,1200万像素,800万像素,Android,5000+,6399.0
OPPO京东自营官方旗舰店,OPPO,100025000000,OPPOA93s,天玑700,4800万像素,800万像素,Android,2万+,1599.0
疆界互联旗舰店,小米,10030800000000,小米（MI）Note10 ,天玑700,4800万像素,800万像素,Android,1万+,1099.0
荣耀京东自营旗舰店,荣耀,100028000000,荣耀X30i,天玑810,其他,其他,Android,10万+,1299.0
努比亚京东自营旗舰店,努比亚,100022000000,努比亚Z30 Pro,骁龙888,6400万像素,其他,Android,5000+,3699.0
疆界互联旗舰店,小米,10026900000000,小米Redmi红米K40,骁龙870,4800万像素,2000万像素,Android,5万+,2169.0
OPPO京东自营官方旗舰店,OPPO,100037000000,OPPOA57,天玑810,1300万像素,800万像素,Android,500+,1499.0
Hi nova京东自营旗舰店,Hi nova,100030000000,Hi nova9,骁龙778G,5000万像素,3200万像素,Android,1万+,3099.0
小米手机官方旗舰店,小米,10032800000000,Redmi 9A 5000mAh大电量 1300万AI相机 八核处理器 ,其他,1300万像素,500万像素,Android,2万+,599.0
Hi nova京东自营旗舰店,Hi nova,100033000000,Hi nova9,骁龙778G,5000万像素,3200万像素,Android,200万+,3088.0
疆界互联旗舰店,荣耀,10042100000000,荣耀（HONOR）荣耀x30,其他,4800万像素,1600万像素,Android,2000+,1768.0
疆界互联旗舰店,华为,10027400000000,华为（HUAWEI）华为Mate 40E,其他,6400万像素,1300万像素,HarmonyOS 2,1万+,5869.0
优爱特手机专营店,小米,10024800000000,小米（MI）Redmi Note 9 ,骁龙662,4800万像素,800万像素,Android,1万+,989.0
靓机优品二手手机专营店,Apple,10028100000000,Apple iPhone X 二手苹果X 二手,其他,其他,其他,其他,2万+,1479.0
盛邦二手手机专营店,Apple,10040600000000,苹果 Apple iPhone 11  二手,其他,其他,其他,其他,2000+,2299.0
纽曼手机旗舰店,纽曼,10045000000000,纽曼（Newman）T10 mini,其他,其他,其他,功能机,2000+,59.0
疆界互联旗舰店,小米,10029100000000,小米（MI）小米,天玑1200,6400万像素,1600万像素,Android,1万+,3699.0
中国移动官方旗舰店,小米,100012000000,小米Redmi Note10 ,其他,其他,其他,Android,5万+,1499.0
金立手机京东自营旗舰店,金立,100018000000,金立G13 Pro,其他,1300万像素,500万像素,Android,2000+,699.0
努比亚京东自营旗舰店,努比亚,100033000000,努比亚红魔7 Pro,其他,6400万像素,1600万像素,Android,5000+,5299.0
一佳手机专营店,华为,10025000000000,华为智选 麦芒9 ,MT6873,6400万像素,1600万像素,Android,2000+,1199.01
OPPO官方直营旗舰店,OPPO,10038500000000,OPPOK9s,骁龙778G,6400万像素,1600万像素,Android,5000+,1349.0
中兴京东自营官方旗舰店,中兴,100024000000,中兴A2322,骁龙870,6400万像素,1600万像素,Android,1万+,1998.0
vivo京东自营官方旗舰店,vivo,100028000000,vivoY50t,其他,4800万像素,800万像素,Android,500+,1199.0
愉快二手手机专营店,华为,64044298792,华为（HUAWEI）MATE30,其他,其他,其他,其他,2000+,2399.0
vivo官方旗舰店,vivo,10042100000000,vivoS12,天玑1100,10800万像素,4400万像素,Android,5000+,2599.0
头号卖家旗舰店,vivo,10038900000000,vivoY71t,其他,其他,其他,Android,2000+,1799.0
